,_channel,_city,_country,_created_at,_golden,_id,_missed,_region,_started_at,_tainted,_trust,_unit_id,_updated_at,_worker_id,answer_match,answer_start_offset,answer_text,article_title,audio_feedback,audio_feedback_gold,audio_feedback_gold_reason,audio_url,distance_to_root,elocution,elocution_gold,elocution_gold_reason,feedback,feedback_gold,feedback_gold_reason,file_name,interruption,interruption_gold,interruption_gold_reason,length,length_gold,length_gold_reason,mp3,mp3_url,needs_met,needs_met_gold,needs_met_gold_reason,num_dependencies,ogg,orig__created_at,orig__golden,orig__unit_id,question,question_id,sentence_text,short_answer,short_answer_gold,short_answer_gold_reason,tts_engine
269,instagc,Kingston,CAN,1/24/2018 01:03:04,false,3300417957,,ON,1/24/2018 00:56:36,False,0.8333,1556117035,1/11/2018 16:21:09,44112186.0,0.3870967741935484,906.0,wider range of audio,Gramophone_record,it is a little fast to catch everything being said,,,,10.0,Moderate,,,nothing,,,,Yes,,,OK,,,Gramophone_record_pauses.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/Gramophone_record_pauses.mp3,"Yes, fully",,,65.0,Gramophone_record_pauses.ogg,1/11/2018 16:21:09,,1541829186.0,What benefits to vinyl have been found in the 1950s?,57279f213acd2414000de814,"This was done by the label mainly to take advantage of the wider audio frequency response that faster speeds like 78 rpm can provide for vinyl microgroove records, hence the label's name (obviously catering to the audiophiles of the 1950s ""hi-fi"" era, when stereo gear could provide a much wider range of audio than before).",wider audio frequency response,,,IBM
271,superrewards,Portsmouth,GBR,1/23/2018 02:18:25,false,3296173450,,K6,1/23/2018 02:10:20,False,1.0,1556117044,1/11/2018 16:21:09,44187123.0,0.7826086956521741,659.0,in the Channel Islands,British_Isles,,,,,9.0,Good,,,,,,,,,,Too long,,,British_Isles_base.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/British_Isles_base.mp3,"Yes, fully",,,45.0,British_Isles_base.ogg,1/11/2018 16:21:09,,1541829195.0,Where are the Bailiwick of Jersey and the Bailiwick of Guernsey located?,57300a5fa23a5019007fcca5,"The British Isles also include three Crown Dependencies: the Isle of Man and, by tradition, the Bailiwick of Jersey and the Bailiwick of Guernsey in the Channel Islands, although the latter are not physically a part of the archipelago.",Channel islands,,,IBM
273,wannads,Hollywood,USA,1/23/2018 03:43:36,false,3296412087,,FL,1/23/2018 03:29:16,False,1.0,1556117044,1/11/2018 16:21:09,44176319.0,0.7826086956521741,659.0,in the Channel Islands,British_Isles,It seems alright as it is.,,,,9.0,Good,,,The speaking rate isn't entirely steady.,,,,No,,,OK,,,British_Isles_base.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/British_Isles_base.mp3,"Yes, fully",,,45.0,British_Isles_base.ogg,1/11/2018 16:21:09,,1541829195.0,Where are the Bailiwick of Jersey and the Bailiwick of Guernsey located?,57300a5fa23a5019007fcca5,"The British Isles also include three Crown Dependencies: the Isle of Man and, by tradition, the Bailiwick of Jersey and the Bailiwick of Guernsey in the Channel Islands, although the latter are not physically a part of the archipelago.",channel islands,,,IBM
275,instagc,El Paso,USA,1/23/2018 09:29:50,false,3297281257,,TX,1/23/2018 09:20:52,False,1.0,1556117044,1/11/2018 16:21:09,27770607.0,0.7826086956521741,659.0,in the Channel Islands,British_Isles,nothing,,,,9.0,Moderate,,,,,,,No,,,OK,,,British_Isles_base.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/British_Isles_base.mp3,"Yes, fully",,,45.0,British_Isles_base.ogg,1/11/2018 16:21:09,,1541829195.0,Where are the Bailiwick of Jersey and the Bailiwick of Guernsey located?,57300a5fa23a5019007fcca5,"The British Isles also include three Crown Dependencies: the Isle of Man and, by tradition, the Bailiwick of Jersey and the Bailiwick of Guernsey in the Channel Islands, although the latter are not physically a part of the archipelago.",channel islands,,,IBM
277,prodege,Roanoke,USA,1/23/2018 13:51:22,false,3298180559,,VA,1/23/2018 13:43:39,False,0.8333,1556117047,1/11/2018 16:21:09,40546641.0,1.0,239.0,Beautiful Day,American_Idol,Nothing,,,,9.0,Good,,,,,,,No,,,OK,,,American_Idol_slow.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/American_Idol_slow.mp3,"Yes, fully",,,45.0,American_Idol_slow.ogg,1/11/2018 16:21:09,,1541829198.0,What U2 song was released by Lee DeWyze after winning American Idol?,56d37c5a59d6e41400146504,"No new song was used as coronation song this year; instead, the two finalists each released a cover song – DeWyze chose U2's ""Beautiful Day"", and Bowersox chose Patty Griffin's ""Up to the Mountain"".",Beautiful Day,,,IBM
279,gifthunterclub,Manassas,USA,1/23/2018 23:16:02,false,3300085026,,VA,1/23/2018 23:02:57,False,0.8333,1556117047,1/11/2018 16:21:09,35473106.0,1.0,239.0,Beautiful Day,American_Idol,I would cut the audio and just put the answer to the query without any complement,,,,9.0,Moderate,,,,,,,No,,,OK,,,American_Idol_slow.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/American_Idol_slow.mp3,Highly,,,45.0,American_Idol_slow.ogg,1/11/2018 16:21:09,,1541829198.0,What U2 song was released by Lee DeWyze after winning American Idol?,56d37c5a59d6e41400146504,"No new song was used as coronation song this year; instead, the two finalists each released a cover song – DeWyze chose U2's ""Beautiful Day"", and Bowersox chose Patty Griffin's ""Up to the Mountain"".",Beautiful day,,,IBM
281,instagc,Kingston,CAN,1/24/2018 01:03:04,false,3300417946,,ON,1/24/2018 00:56:36,False,0.8333,1556117047,1/11/2018 16:21:09,44112186.0,1.0,239.0,Beautiful Day,American_Idol,A little bit too long,,,,9.0,Good,,,Nothing,,,,No,,,Too long,,,American_Idol_slow.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/American_Idol_slow.mp3,"Yes, fully",,,45.0,American_Idol_slow.ogg,1/11/2018 16:21:09,,1541829198.0,What U2 song was released by Lee DeWyze after winning American Idol?,56d37c5a59d6e41400146504,"No new song was used as coronation song this year; instead, the two finalists each released a cover song – DeWyze chose U2's ""Beautiful Day"", and Bowersox chose Patty Griffin's ""Up to the Mountain"".",Beautiful Day,,,IBM
283,elite,Poole,GBR,1/24/2018 18:36:00,false,3303590227,,K5,1/24/2018 18:17:23,False,0.8333,1556117048,1/11/2018 16:21:09,39925494.0,1.0,439.0,commercial paper,European_Central_Bank,confusing answer,,,,9.0,Moderate,,,,,,,No,,,Too long,,,European_Central_Bank_base.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/European_Central_Bank_base.mp3,Moderately,,,46.0,European_Central_Bank_base.ogg,1/11/2018 16:21:09,,1541829199.0,What kind of asset will the Federal Reserve purchase in mass quantities at a time of crisis?,57282fc54b864d190016469e,There is no limit on the bonds that it can buy and one of the tools at its disposal in a financial crisis is to take such extraordinary measures as the purchase of large amounts of assets such as commercial paper.,commercial paper,,,IBM
285,clixsense,Trevallyn,AUS,1/24/2018 23:03:32,false,3304532083,,06,1/24/2018 22:55:13,False,1.0,1556117048,1/11/2018 16:21:09,6330007.0,1.0,439.0,commercial paper,European_Central_Bank,address the question directly,,,,9.0,Moderate,,,,,,,Yes,,,Too long,,,European_Central_Bank_base.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/European_Central_Bank_base.mp3,Highly,,,46.0,European_Central_Bank_base.ogg,1/11/2018 16:21:09,,1541829199.0,What kind of asset will the Federal Reserve purchase in mass quantities at a time of crisis?,57282fc54b864d190016469e,There is no limit on the bonds that it can buy and one of the tools at its disposal in a financial crisis is to take such extraordinary measures as the purchase of large amounts of assets such as commercial paper.,commercial paper,,,IBM
287,superrewards,Portsmouth,GBR,1/23/2018 02:18:25,false,3296173452,,K6,1/23/2018 02:10:20,False,1.0,1556117055,1/11/2018 16:21:09,44187123.0,1.0,246.0,Jilin and Heilongjiang,Qing_dynasty,,,,,9.0,Moderate,,,,,,,,,,OK,,,Qing_dynasty_slow.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/Qing_dynasty_slow.mp3,"Yes, fully",,,53.0,Qing_dynasty_slow.ogg,1/11/2018 16:21:09,,1541829206.0,What parts of China did they come from?,57312388e6313a140071cc77,"The Qing dynasty was founded not by Han Chinese, who constitute the majority of the Chinese population, but by a sedentary farming people known as the Jurchen, a Tungusic people who lived around the region now comprising the Chinese provinces of Jilin and Heilongjiang.",Jilin and Heilongjiang,,,IBM
289,wannads,Hollywood,USA,1/23/2018 03:43:36,false,3296412082,,FL,1/23/2018 03:29:16,False,1.0,1556117055,1/11/2018 16:21:09,44176319.0,1.0,246.0,Jilin and Heilongjiang,Qing_dynasty,The answers are pronounced strangely. They need to be clearer.,,,,9.0,Bad,,,,,,,No,,,Too long,,,Qing_dynasty_slow.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/Qing_dynasty_slow.mp3,"Yes, fully",,,53.0,Qing_dynasty_slow.ogg,1/11/2018 16:21:09,,1541829206.0,What parts of China did they come from?,57312388e6313a140071cc77,"The Qing dynasty was founded not by Han Chinese, who constitute the majority of the Chinese population, but by a sedentary farming people known as the Jurchen, a Tungusic people who lived around the region now comprising the Chinese provinces of Jilin and Heilongjiang.",jilin and heilongjiang,,,IBM
291,instagc,El Paso,USA,1/23/2018 09:29:50,false,3297281250,,TX,1/23/2018 09:20:52,False,1.0,1556117055,1/11/2018 16:21:09,27770607.0,1.0,246.0,Jilin and Heilongjiang,Qing_dynasty,nothing,,,,9.0,Moderate,,,,,,,No,,,OK,,,Qing_dynasty_slow.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/Qing_dynasty_slow.mp3,"Yes, fully",,,53.0,Qing_dynasty_slow.ogg,1/11/2018 16:21:09,,1541829206.0,What parts of China did they come from?,57312388e6313a140071cc77,"The Qing dynasty was founded not by Han Chinese, who constitute the majority of the Chinese population, but by a sedentary farming people known as the Jurchen, a Tungusic people who lived around the region now comprising the Chinese provinces of Jilin and Heilongjiang.",Jilin and Heilongjiang,,,IBM
293,clixsense,Bridgewater,USA,1/24/2018 03:38:49,false,3301042578,,NJ,1/24/2018 03:25:09,False,0.8333,1556117056,1/11/2018 16:21:09,31462934.0,0.819672131147541,253.0,the Sun lies motionless at the centre of the universe,Heresy,,,,,9.0,Good,,,,,,,No,,,OK,,,Heresy_base.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/Heresy_base.mp3,Highly,,,64.0,Heresy_base.ogg,1/11/2018 16:21:09,,1541829207.0,What belief did Galileo have at the time that appeared to be extremely heretical to the church?,56de7126cffd8e1900b4b8e9,"Galileo was found ""vehemently suspect of heresy"", namely of having held the opinions that the Sun lies motionless at the centre of the universe, that the Earth is not at its centre and moves, and that one may hold and defend an opinion as probable after it has been declared contrary to Holy Scripture.",The sun was the center of the universe.,,,IBM
295,bitcoinget,New York,USA,1/24/2018 10:28:33,false,3302138285,,NY,1/24/2018 10:15:00,False,1.0,1556117056,1/11/2018 16:21:09,43836952.0,0.6666666666666666,253.0,the Sun lies motionless at the centre of the universe,Heresy,,,,,9.0,Moderate,,,,,,,No,,,OK,,,Heresy_base.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/Heresy_base.mp3,Highly,,,64.0,Heresy_base.ogg,1/11/2018 16:21:09,,1541829207.0,What belief did Galileo have at the time that appeared to be extremely heretical to the church?,56de7126cffd8e1900b4b8e9,"Galileo was found ""vehemently suspect of heresy"", namely of having held the opinions that the Sun lies motionless at the centre of the universe, that the Earth is not at its centre and moves, and that one may hold and defend an opinion as probable after it has been declared contrary to Holy Scripture.","The sun lies motionless at the centre of the universe, that the earth is not a bit center but it moves",,,IBM
297,content_runner,New York,USA,1/24/2018 12:53:57,false,3302539548,,NY,1/24/2018 12:38:31,False,1.0,1556117056,1/11/2018 16:21:09,44262077.0,0.6862745098039216,253.0,the Sun lies motionless at the centre of the universe,Heresy,,,,,9.0,Moderate,,,,,,,No,,,Too long,,,Heresy_base.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/Heresy_base.mp3,Highly,,,64.0,Heresy_base.ogg,1/11/2018 16:21:09,,1541829207.0,What belief did Galileo have at the time that appeared to be extremely heretical to the church?,56de7126cffd8e1900b4b8e9,"Galileo was found ""vehemently suspect of heresy"", namely of having held the opinions that the Sun lies motionless at the centre of the universe, that the Earth is not at its centre and moves, and that one may hold and defend an opinion as probable after it has been declared contrary to Holy Scripture.",The sun lies motionless at the centre of the universe that the earth is not a bit center but moves,,,IBM
299,prodege,Saint Peters,CAN,1/24/2018 16:48:37,false,3303288542,,NS,1/24/2018 16:37:38,False,1.0,1556117063,1/11/2018 16:21:09,44029695.0,0.9361702127659576,209.0,their lack of Congressional representation,51st_state,The phrase protests lack of congressional representation.,,,,9.0,Good,,,"Somewhat long, good information though.",,,,No,,,Too long,,,51st_state_base.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/51st_state_base.mp3,"Yes, fully",,,73.0,51st_state_base.ogg,1/11/2018 16:21:09,,1541829213.0,What does the phrase protest?,57304a372461fd1900a9ccf4,"Washington, D.C. residents who support the statehood movement sometimes use a shortened version of the Revolutionary War protest motto ""No taxation without representation"", omitting the initial ""No"", denoting their lack of Congressional representation; the phrase is now printed on newly issued Washington, D.C. license plates (although a driver may choose to have the Washington, D.C. website address instead).",lack of congressional representation,,,IBM
301,instagc,Louisville,USA,1/24/2018 17:13:22,false,3303352072,,KY,1/24/2018 16:54:36,False,1.0,1556117063,1/11/2018 16:21:09,43755034.0,0.5581395348837209,209.0,their lack of Congressional representation,51st_state,There is too much information provided in the response.  Shorten the response and stick to answering the question  without so much extra information.,,,,9.0,Good,,,Shorten the response and be concise with less information.,,,,No,,,Too long,,,51st_state_base.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/51st_state_base.mp3,Highly,,,73.0,51st_state_base.ogg,1/11/2018 16:21:09,,1541829213.0,What does the phrase protest?,57304a372461fd1900a9ccf4,"Washington, D.C. residents who support the statehood movement sometimes use a shortened version of the Revolutionary War protest motto ""No taxation without representation"", omitting the initial ""No"", denoting their lack of Congressional representation; the phrase is now printed on newly issued Washington, D.C. license plates (although a driver may choose to have the Washington, D.C. website address instead).",taxation without representation,,,IBM
303,bitcoinget,New York,USA,1/24/2018 18:11:03,false,3303511154,,NY,1/24/2018 17:51:05,False,1.0,1556117063,1/11/2018 16:21:09,43836884.0,0.92,209.0,their lack of Congressional representation,51st_state,,,,,9.0,Moderate,,,,,,,No,,,OK,,,51st_state_base.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/51st_state_base.mp3,Highly,,,73.0,51st_state_base.ogg,1/11/2018 16:21:09,,1541829213.0,What does the phrase protest?,57304a372461fd1900a9ccf4,"Washington, D.C. residents who support the statehood movement sometimes use a shortened version of the Revolutionary War protest motto ""No taxation without representation"", omitting the initial ""No"", denoting their lack of Congressional representation; the phrase is now printed on newly issued Washington, D.C. license plates (although a driver may choose to have the Washington, D.C. website address instead).",Their lack of Congressional Representative,,,IBM
305,prodege,Roanoke,USA,1/23/2018 13:51:22,false,3298180547,,VA,1/23/2018 13:43:39,False,0.8333,1556117066,1/11/2018 16:21:09,40546641.0,0.2608695652173913,635.0,the critical discussion of myths,Karl_Popper,Nothing,,,,9.0,Good,,,,,,,No,,,OK,,,Karl_Popper_slow.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/Karl_Popper_slow.mp3,"Yes, fully",,,76.0,Karl_Popper_slow.ogg,1/11/2018 16:21:09,,1541829216.0,What did Popper say must be the beginning phase of science?,5728de173acd2414000e00b7,"Also, in his collection Conjectures and Refutations: The Growth of Scientific Knowledge (Harper & Row, 1963), Popper writes, ""Science must begin with myths, and with the criticism of myths; neither with the collection of observations, nor with the invention of experiments, but with the critical discussion of myths, and of magical techniques and practices.",myths,,,IBM
307,gifthunterclub,Manassas,USA,1/23/2018 23:16:02,false,3300085047,,VA,1/23/2018 23:02:57,False,0.8333,1556117066,1/11/2018 16:21:09,35473106.0,0.13043478260869565,635.0,the critical discussion of myths,Karl_Popper,I would not change the audio because it is very good,,,,9.0,Good,,,,,,,No,,,OK,,,Karl_Popper_slow.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/Karl_Popper_slow.mp3,"Yes, fully",,,76.0,Karl_Popper_slow.ogg,1/11/2018 16:21:09,,1541829216.0,What did Popper say must be the beginning phase of science?,5728de173acd2414000e00b7,"Also, in his collection Conjectures and Refutations: The Growth of Scientific Knowledge (Harper & Row, 1963), Popper writes, ""Science must begin with myths, and with the criticism of myths; neither with the collection of observations, nor with the invention of experiments, but with the critical discussion of myths, and of magical techniques and practices.",Myths and with the criticism of myths,,,IBM
